Activity number,Material Group,Mat/Srv Group Desc.,Base Unit,Service Category,Service Category.1,Valuation Class,Val. Class Desc.,G/L Account,Service Short Text,Service Long Text,Deletion Indicator
700108,S0076,PROJECT DESIGN SERVI,LOT,Z017,PROJECT DESIGN SERVICES,7151.0,R&M-Comm-Equi-radio,7415100000.0,EREC OF PLCC FOR 765 KV AIS SS,S&E OF PLCC FOR 765 KV AIS SS,
700109,S0076,PROJECT DESIGN SERVI,LOT,Z017,PROJECT DESIGN SERVICES,7151.0,R&M-Comm-Equi-radio,7415100000.0,EREC OF TELECOM EQPTS FOR 765 KV AIS SS,"S&E OF TELE PHONE,PBX & PAX EQUIPMENT FOR 765 KV AIS SS",
700110,S0076,PROJECT DESIGN SERVI,LOT,Z017,PROJECT DESIGN SERVICES,7151.0,R&M-Comm-Equi-radio,7415100000.0,EREC SDH FIBRE OPTIC MULTIPLEX-765KV SS,S&E SDH FIBRE OPTIC MULTIPLEX-765KV SS,
700111,S0076,PROJECT DESIGN SERVI,LOT,Z017,PROJECT DESIGN SERVICES,7138.0,R&M-TP:Transf>100KVA,7413800000.0,EREC OF LV & MV SWGR-765 KV AIS SS,S&E OF LV & MV SWITCHGEAR-765 KV AIS SS,
700112,S0076,PROJECT DESIGN SERVI,LOT,Z017,PROJECT DESIGN SERVICES,7112.0,R&M-Indoor400V 6.6KV,7411200000.0,EREC-DC&AC PWR SPLY EQPTS 765KV AIS SS,S&E OF DC& EMERGENCY AC POWER SUPPLY EQPTS 765KV AIS SS,
700113,S0076,PROJECT DESIGN SERVI,LOT,Z017,PROJECT DESIGN SERVICES,7139.0,R&M-Othr TP: FA Appl,7413900000.0,EREC-JB&LIGHTING FIXTURE-765 KV AIS SS,S&E OF JUNCTION BOX & LIGHTING FIXTURE,
700114,S0076,PROJECT DESIGN SERVI,LOT,Z017,PROJECT DESIGN SERVICES,7151.0,R&M-Comm-Equi-radio,7415100000.0,EREC-STANDALONE TELEPHONE FOR 765KV SS,S&E OF STANDALONE TELEPHONE EQUIPMENT FOR 765KV SS,
700115,S0076,PROJECT DESIGN SERVI,LOT,Z017,PROJECT DESIGN SERVICES,7112.0,R&M-Indoor400V 6.6KV,7411200000.0,EREC OF DCS FOR 765KV AIS SS,S&E OF DCS FOR 765KV AIS SS,
700118,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7138.0,R&M-TP:Transf>100KVA,7413800000.0,EREC-765/400KV 3X500MVA ICT ZIGZAG TRF,S&E OF 765/400KV 3X500MVA ICT ALONGWITH ZIG-ZIG TRANSFORMER,
700119,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7139.0,R&M-Othr TP: FA Appl,7413900000.0,EREC OF ISO&E/S(3150A)/765KV-1500MVA ICT,S&E OF ISOLATOR WITH E/S(3150A) FOR 765KV SIDE OF 1500MVA ICT,
700120,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7139.0,R&M-Othr TP: FA Appl,7413900000.0,EREC OF ISO&E/S(2000A)/765KV-1500MVA ICT,S&E OF ISOLATOR WITH E/S(2000A) FOR 765KV SIDE OF 1500MVA ICT,
700121,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7138.0,R&M-TP:Transf>100KVA,7413800000.0,EREC OF CB W/CS(3150A)/765KV-1500MVA ICT,S&E OF CB WITH CS(3150A) FOR 765KV SIDE OF 1500MVA ICT,
700122,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7139.0,R&M-Othr TP: FA Appl,7413900000.0,EREC-CT(5C)3000A 1PH/765KV-1500MVA ICT,S&E OF CT(5 CORE)3000A 1PH FOR 765KV SIDE OF 1500MVA ICT,
700123,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7139.0,R&M-Othr TP: FA Appl,7413900000.0,EREC-CT(6C)3000A 1PH/765KV-1500MVA ICT,S&E OF CT(6 CORE)3000A 1PH FOR 765KV SIDE OF 1500MVA ICT,
700124,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7150.0,R&M-Lightining Arres,7415000000.0,EREC-LA(624KV POLYMR)765KV-1500MVA ICT,S&E OF LA(624KV POLYMER TYPE) FOR 765KV SIDE OF 1500MVA ICT,
700125,S0076,PROJECT DESIGN SERVI,SET,Z017,PROJECT DESIGN SERVICES,7114.0,R&M-Cntrl Pan-Relays,7411400000.0,EREC OF C&R PANEL(ICT)765KV-1500MVA ICT,S&E OF C&R PANEL(ICT)765KV FOR 765KV SIDE OF 1500MVA ICT,
700126,S0076,PROJECT DESIGN SERVI,LOT,Z017,PROJECT DESIGN SERVICES,7113.0,R&M-Entire LT & HT,7411300000.0,EREC OF DCS FOR 765KV OF 1500MVA ICT,S&E OF DCS FOR 765KV SIDE OF 1500MVA ICT,
700127,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7139.0,R&M-Othr TP: FA Appl,7413900000.0,EREC OF ISO&E/S(3150A)/400KV-1500MVA ICT,S&E OF ISOLATOR WITH E/S(3150A) FOR 400KV SIDE OF 1500MVA ICT,
700128,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7139.0,R&M-Othr TP: FA Appl,7413900000.0,EREC OF ISO&E/S(2000A)/400KV-1500MVA ICT,S&E OF ISOLATOR WITH E/S(2000A) FOR 400KV SIDE OF 1500MVA ICT,
700129,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7138.0,R&M-TP:Transf>100KVA,7413800000.0,EREC OF CB W/CS(3150A)/400KV-1500MVA ICT,S&E OF CB WITH CS(3150A) FOR 400KV SIDE OF 1500MVA ICT,
700130,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7150.0,R&M-Lightining Arres,7415000000.0,EREC OF LA(360KV)400KV-1500MVA ICT,S&E OF LA(360KV) FOR 400KV SIDE OF 1500MVA ICT,
700131,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7139.0,R&M-Othr TP: FA Appl,7413900000.0,EREC-CT(6C)3000A 1PH/400KV-1500MVA ICT,S&E OF CT(6 CORE)3000A 1PH FOR 400KV SIDE OF 1500MVA ICT,
700132,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7139.0,R&M-Othr TP: FA Appl,7413900000.0,EREC-CT(5C)3000A 1PH/400KV-1500MVA ICT,S&E OF CT(5 CORE)3000A 1PH FOR 400KV SIDE OF 1500MVA ICT,
700133,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7139.0,R&M-Othr TP: FA Appl,7413900000.0,EREC OF CVT 4400PF/400KV-1500MVA ICT,S&E OF CVT 4400PF FOR 400KV SIDE OF 1500MVA ICT,
700134,S0076,PROJECT DESIGN SERVI,NO,Z017,PROJECT DESIGN SERVICES,7139.0,R&M-Othr TP: FA Appl,7413900000.0,EREC OF VOLTAGE TRF-TERTIARY/1500MVA ICT,S&E OF VOLTAGE TRANSFORMER-TERTIARY/1500MVA ICT,
301997,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"P&R,CU COIL,CU,LEAK,AC,1.5TON,INCL GAS",PROVIDING AND REPLACING OF LEAKED COOLING COPPER COIL BACK & FRONT OF WINDOW AC 1.5 TON CA PACITY OF LG MAKE AND FILLING THE REFRIGENT GAS IN COMPRESSOR. THE RATES ARE INCLUDING CAR TAGE OF AC UNIT FROM 132 KV S/S TO AUTHORIZED SERVICE CENTER AND BACK  (CSI NO 27.39),
301340,S0028,NEW ITEMS,NO,Z003,CIVIL SERVICES,,,,"FIX,WATER PURIFIER",FIXING OF  WATER PURIFER,
302001,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"P&F,EARTHEN POT,30CM D/30CM DIA,INCL U/L",SUPPLYING OF GAMLA OR POT AT SITE INCLUDING LOADING UNLOADING AND CARRIAGE ETC. COMPLETE. PRECAST CEMENT CONCRETE POT MINIMUM 30 CM DEEP AND 30 CM DIA (CSI NO. 19.19 B),
302002,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,P&F 15MM CP PILLAR COCK 400GM,"PROVIDING AND FIXING 15MM DIA C.P. PILLAR COCK (400 GMS) OF APPROVED MAKE INCLUDING SUPPLY  OF ALL MATERIALS, LABOUR, T&P ETC. REQUIRED FOR PROPER COMPLETION OF WORK. (CSI NO. 24.34 )",
302009,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,S&I OF 190L REFRIGERATOR,SUPPLY & INSTALLATION OF 190L REFRIGERATOR.,
302036,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"P/F,WATER STORAGE HEATER/GYSER,15 LITRE","PROVIDING AND FIXING WATER STORAGE HEATER 15 LITRE CAPACITY , PORCELAIN ENAMEL GLASS LINED  TANK, MODEL 015GV, SIZE 50.5CM X 32.2CM ,POWER SAVING GUIDE, 8 BAR PRESSURE, 5 STAR RATED  VENUS OR EQUIVALENT MAKE AS APPROVED BY THE E/I. INCLUDING SUPPLY OF ALL MATERIAL , LABOU R AND T&P ETC. REQUIRED FOR PROPER COMPLETION OF WORK AT THE REQUIRED SITE. (NSI) (EXTA IT EM APPROVED BY SE CVIL AGRA WIDE OM NO. 846/ECTC/A/EXTRA ITEM DATED 04.07.2020)(CSI NO 27. 28)",
302046,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"S&F,MS ANGLE HLDFST,50X50X6MM,300MM,GATE",SUPPLY AND FIXING M.S. ANGLE IRON HOLDFAST 50X50X6MM SIZE 300MM LONG FOR GATE (IN C.C.1:2: 4) INCLUDING COST OF ALL MATERIAL CSI-9.34,
302051,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"CARTAGE,T&P & BORING SET,SITE TO & FRO",CARTAGE OF T&P AND BORING SET BY MANUAL BORING TO AND FRO FROM SITE OF WORK.(CSI-18.19),
400184,S0050,LAYING-PWR&CTRL CAB.,NO,Z004,O&M SERVICES,7113.0,R&M-Entire LT & HT,7411300000.0,TERM PWR CABLE W/CU LUGS 3.5CX50SQMM,TERMINATION PWR CABLE W/CU LUGS 3.5CX50SQMM BOTH END,
400326,S0055,REPL.-BUS BAR&JUMPRS,NO,Z004,O&M SERVICES,7111.0,R&M-Outdoor Switch,7411100000.0,"BB JUMPER REPL 1XMOOSE,<10M,33KV","BB JUMPER REPL 1XMOOSE,<10M,33KV",
302070,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-TAR,OIL ETC IN NO",,
302071,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,12MM PLASTR W/CMT&C.SAND(1:2)<10MM IN NO,,
302072,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,ERTH WRK IN EXC BBY MECH MEANS <6M IN NO,,
700821,S0084,O&M SERVICES - LINE,KM,Z017,PROJECT DESIGN SERVICES,7501.0,R&M-OL:L(fab)V>66KVA,7450100000.0,"LAYING/STRINGING,OPGW,LINES","LAYING, STRINGING, TENSIONING, CLAMPING, JOINTING,INCLUDING FITTINGS OF ALL NECESSARY HARD WARE AND ACCESSORIES OF OPGW & OFAC, TERMAINATION AT S/S, END TO END CONNECTIVITY & TESTING ETC.",
302086,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"P&F,FOUNDATION BOLT,GI,PED,RCC,W/TEMPLTE","""SUPPLY AND FIXING OF GI FOUNDATION NUT BOLT WITH WASHERS AS REQUIRED SIZE IN R.C.C. PEDES TALS, IN TRUE LINE & LEVEL.INCLUDING NECESSARY TEMPLATE FOR LOCATING HOLES AND SLEEVES ETC  AS PER DRAWING.""",
302092,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"S/REP,CABLE,10SQMM,MOTOR,25HP",S/R OF 10 SQMM PVC FLAT CORE CABLE SUITABLE UPTO 25HP SUB-MERSSIBLE MOTOR OF FINOLEX/ATLAS  OR EQUIVALENT MAKE OF APPROVED QUALITY INCLUDING COST OF ALL LABOUR MATERIAL T&P ETC. REQ UIRED FOR PROPER COMPLETION OF THE WORK.,
302076,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"P&F,SPRING,HYD FLOOR,DBL ACT,SS 1.25MM","PROVIDING AND FIXING DOUBLE ACTION HYDRAULIC FLOOR SPRING OF APPROVED BRAND AND MANUFACTUR E CONFORMING TO IS : 6315, HAVING BRAND LOGO EMBOSSED ON THE BODY / PLATE WITH DOUBLE SPRI NG MECHANISM AND DOOR WEIGHT UPTO 125 KG, FOR DOORS, INCLUDING COST OF CUTTING FLOORS, EMB EDDING IN FLOORS AS REQUIRED AND MAKING GOOD THE SAME MATCHING TO THE EXISTING FLOOR FINIS HING AND COVER PLATES WITH BRASS PIVOT AND SINGLE PIECE M.S. SHEET OUTER BOX WITH SLIDE PL ATE ETC. COMPLETE AS PER THE DIRECTION OF ENGINEER-IN-CHARGE. WITH STAINLESS STEEL COVER P LATE MINIMUM 1.25 MM THICKNESS. (DSR 2019 21.4.1)",
302077,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"FIXING/LEVELLING,TEMPLATE,STUB,TOWER",FIXING OF TEMPLET FOR STUB AND REQUIRED ARRANGEMENT FOR TOWER ERRECTION INCLUDING STUB SET TING LEVEL ALIGNMENT STUB SHALL BE PROVIDED BY THE DEPARTMENT FREE OF COST,
302121,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"P&I,PUMP,SUBMER,5HP,80MM OD,HEAD 35/31","PROVIDING AND INSTALLATION OF 80 MM DIA OUTLET SIZE KSB / KIRLOSKER / HINDUSTAN OR EQUIVAL ENT MAKE SUB-MERCIBLE PUMP SET OF 5 H.P. SUITABLE FOR 150MM DIA BORED TUBE WELL HAVING DIS CHARGE OF 600 L.P.M. AT A TOTAL HEAD OF 35 METRES. COMPLETE IN ALL RESPECT CONSISTING OF F OUR STAGE PUMP SET FITTED WITH SPECIAL STREAM LINED NON RETURN VALVE, DIRECTLY COUPLED TO SQUIRREL CAGE INDUCTION MOTOR OF 5 H.P. 400/440 VOLTS 3 PHASE A.C. 50 CYCLE, 2900 RPM SUIT ABLE FOR STAR DELTA STARTING INCLUDING MAKING ELECTRIC CONNECTION TO THE CONTROL PANEL, TE STING AND COMMISSIONING OF THE PUMPING SET, INCLUDING BINDING OF SUPPORTING GUIDE WITH THE  HELP OF STEEL WIRE ROPE 5MM DIA INCLUDING ITS COST REQUIRED AND S/F OF COMPLETE INBUILT S ET OF CONTROL PENAL PRISCRIBED BY MANUFACTURER OF PUMP FOR PROPER COMPLETION OF THE WORK.( CSI NO 18.30)",
302123,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"INTEGRITY TEST,PILE,W/ECU,COMPTR/SOFTWRE","CONDUCTING INTEGRITY TEST ON PILE USING ELECTRONIC CONTROL UNIT, HAND HOLD HAMMER ACCELERO METER COMPUTER WITH REQUIRED SOFTWARE TO ASSESS AS INSTALLED PILE CHARACTERISTIC INCLUDING  MOBILIZATION OF NECESSARY MANPOWER, EQUIPMENTS, MATERIALS ETC. REQUIRED FOR SUCCESSFUL CO MPLETION OF THE JOB.(CSI NO 20.12)",
302124,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"S&F,CISTERN,CONCEALED,W/CNTRL PLATE","SUPPLY AND FIXING OF CONCEALED CISTERN JAQUAR MAKE MODEL NO- CIB-WHT-31801011XW WITH CONTR OL PLATE OF MODEL NO. CIS-CHR-31181810X OR EQUIVALENT MAKE AS APPROVED BY E/I. THE WORK IN CLUDES COST OF ALL LABOUR, MATERIAL T&P FOR PROPER COMPLETION OF WORK.(NSI)",
302125,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"S&F,IRON HLDFST,300X40X6MM,W/10MM BOLT","S/F HOLD FASTS 300X40X6MM. FLAT IRON WITH 10MM. DIA BOLTS WITH NUT, GROUTING IN CC 1:2:4 S IZE OF BLOCK 230X115X75MM. ( CC. SHALL BE MEASURED SEPARATELY).(CSI NO 9.32)",
302138,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"P&FIX,CP BRACKET,BRASS,600X200MM","PROVIDING AND FIXING 600MM X 20MM SIZE (WEIGHT 250GMS INCLUDING BRACKETS) WITH A PAIR OF C .P. BRASS BRACKETS FIXED WITH PVC CLEATS & BRASS SCREWS AND WASHERS INCLUDING CUTTING AND MAKING GOOD THE WALL PLASTER INCLUDING COST OF ALL MATERIALS, LABOUR AND T&P ETC. REQUIRED  FOR PROPER COMPLETION OF WORK (CSI NO 25.16)",
302094,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"P&F,SHUTTER,DOOR,PVC,30MM","SUPPLY AND FIXING OF 30 MM THICK FACTORY MADE MOULDED PVC DOOR ( WOOD FREE) SHUTTER SINTEX  MAKE & THE INSIDE PANEL SHALL CONSIST OF 20 MM THICK HOLLOW SECTION 1 MM WALL THICKNESS I NCLUDING COST OF ALL MATERIALS ,LABOUR & NECESSARY FITTING SUCH AS L-DROP,TOWER BOLT FOR T HE PROPER COMPLETION OF THE WORK.",
302095,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"S&I,SUBMER PUMP,1.5HP,50MM OD,HEAD,60M","PROVIDING AND INSTALLATION OF 50 MM DIA OUTLET SIZE KSB MAKE ( AUTO START & STOP ) SUB-MER CIBLE PUMP SET OF 1.5 H.P. SUITABLE FOR 250MM DIA BORED TUBE WELL HAVING DISCHARGE OF 280 L.P.M. AT A TOTAL HEAD OF 60 METRES. COMPLETE IN ALL RESPECT CONSISTING OF NINE STAGE PUMP  SET FITTED WITH SPECIAL STREAM LINED NON RETURN VALVE, DIRECTLY COUPLED TO SQUIRREL CAGE INDUCTION MOTOR OF 1.50 H.P. 400/440 VOLTS ,SINGLE PHASE INCLUDING MAKING ELECTRIC CONNECT ION TO THE CONTROL PANEL PRESCRIBED BY MANUFACTURER OF PUMP FOR PROPER COMPLETION OF THE W ORK.",
302151,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"P&F,SHEET,MULTIWALL,POLYCARBONATE","SUPPLY AND FIXING 6MM THICK POLYCARBONATE MULTIWALL SHEET ,FIXING IN POSITION WITH J OR U BOLTS 10 MM. DIA WITH G.I. LIMPET & BITUMEN WASHERS INCLUDING SUPPLY OF ALL MATERIALS, LAB OUR,WASTAGE. AND T&P ETC. REQUIRED FOR PROPER COMPLETION OF THE WORK. (CSI NO. 10.13)",
200007,S0042,ERECTION OF TRF/RCTR,NO,Z002,ERECT. & INSTL. SERVICES,7138.0,R&M-TP:Transf>100KVA,7413800000.0,"ERECT,T/F,100MVA,132/33KV","ERECTION OF 20M,100MVA,132/33KV TRANSFORMER,",
701950,S0078,TRAINING SERVICES,AU,Z019,TRAINING EXPENSES,8125.0,Other Profesinl Chrg,7612500000.0,"FEES,ANNUAL,MEMBERSHIP,CBIP",ANNUAL FEES FOR CENTRAL BOARD OF IRRIGATION AND POWER MEMBERSHIP,
302212,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"S&F,JET,CP/SS,8MM,W/TUBE,FLEXBLE,UPTO 1M","""PROVIDING AND FIXING 8 MM DIA C.P. / S.S. JET WITH FLEXIBLE TUBE UPTO 1 METRE LONG WITH S .S. TRIANGULAR PLATE TO EUREOPEAN TYPE W.C. OF QUALITY AND MAKE AS APPROVED BY ENGINEER - IN - CHARGE. (DSR 17.16 A).""",
302213,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"P&F,WALL SYS,EXT,STEEL FRAME,LIGHT GAUGE","""PROVIDING AND FIXING OF EXTERNAL WALL SYSTEM ON LIGHT GAUGE STEEL FRAME WORK WITH OUTER F ACE CEMENT BOARDS AS PER STANDARD SIZES FIXED WITH SELF- DRILLING / TAPING SCREWS / FASTEN ERS @ 60CM C/C OF APPROVED MAKE. A GROOVE OF 2 MM TO 3MM SHALL BE MAINTAINED AND GROOVES S HALL BE SEALED WITH SILICON BASED SEALANT. THE BOARD SHALL BE FIXED IN A STAGGERED PATTERN . SCREWS SHALL BE OF COUNTER SUNK RIB HEAD OF 1.60MM TO 4 MM THICK OR 8 TO 10 GAUGE OF LEN GTH VARYING FROM 25 TO 45 MM AND. INTERNAL FACE 12.5 MM THICK GYPSUM PLASTER BOARD FIXED O N CEMENT BOARD AS PER STANDARD SIZES FIXED WITH SELF- DRILLING / TAPING SCREWS / FASTENERS  @ 60CM C/C OF APPROVED MAKE, PROPER TAPING AND JOINTING TO BE DONE USING FIBER MESH TAPE AND EPOXY AND ACRYLIC BASED JOINTING COMPOUND FOR SEAMLESS FINISH OUTER FACE HAVING 8 MM T HICK CEMENT BONDED PARTICLE BOARD FIXED ON 10 MM THICK CEMENT BONDED PARTICLE BOARD. (TERM ITE, FIRE AND MOISTURE RESISTANCE) AS PER IS 14276:1995. INNER FACE:-12.5 MM THICK GYPSUM PLASTER BOARD CONFORMING TO IS 2095:2011 FIXED ON 8 MM THICK CEMENT BONDED PARTICLE BOARD (TERMITE, FIRE AND MOISTURE RESISTANCE) CONFIRMING TO IS:14276:1995).(COST OF FRAME WORK T O BE PAID FOR SEPARATELY) (DSR 26.42.2) ..""",
302214,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"REP/RENOVATION,BED,INCL FIXING&SPARES","REPAIRING OF BED WITH GOOD QUALITYMATERIAL AS APPROVED BY ENGINEER IN CHARGE AND FIXING IN  PROPER POSITION INCLUDING ALL LABOUR, T&P, OTHER ITEMS LIKE (BUT NOT LIMITED TO) FEVICOL,  FOAMS,NAILS SCREWS, HINGES, SLIDERS, OF GODREJ OR EQUIVALENT BRAND ETC. REQUIRED FOR PROP ER COMPLETION OF WORKS, TO BE MEASURED IN TERMS OF NOS ONLY.(NSI) (QUOTATION ATTACHED)",
302223,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"S/F,FTNG,AL,W/SCRW,DOOR,BELAN,10MM,300MM",SUPPLY AND FIXING OF ALUMINIUM FITTINGS WITH SCREW FOR DOORS AND WINDOWS ETC. (J) ISI MARK ED DOOR BELAN 10MM DIA 300MM LONG,
302224,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"S/F,FTNG,AL,W/SCRW,DOOR,STOPPER/CLEAT",SUPPLY AND FIXING OF ALUMINIUM FITTINGS WITH SCREW FOR DOORS AND WINDOWS ETC. (I) ALUMINIU M DOOR STOPPERS OR CLEATS (RUBBER & LONG SCEW),
302225,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"S/F,FTNG,AL,W/SCRW,DOOR,HANDLE,100MM",SUPPLY AND FIXING OF ALUMINIUM FITTINGS WITH SCREW FOR DOORS AND WINDOWS ETC. (H) 100MM LO NG DOOR HANDLE,
302226,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"S/F,FTNG,AL,W/SCRW,DOOR,SPRING,IRON",SUPPLY AND FIXING OF CHROMIUM POLISHED IRON FITTING WITH SCREWS FOR DOORS AND WINDOWS ETC. (E) IRON DOOR SPRING,
302243,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"P&F,STOP COCK,ANGULAR  STOP,HEAVY QLTY",PROVIDING AND FIXING CP BRASS ANGULAR STOP COCK HEAVY QUALITY (HINDWARE CAT NO. F400004) F ITTING) ISI MARK HEAVY QUALITY INCLUDING SUPPLY OF ALL MATERIALS LABOUR AND T&P REQUIRED F OR PROPER COMPLETION OF THE WORK NSI ITEM APPROVED BY SE (CIVIL) VIDE LETTER NO. 3509 DT. 27.08.2020 BASED ON CSI NO. 26.16 (300444),
302245,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"PULLOUT,PUMP,SUBMERSIBLE,1 PH,TUBEWELL",PULLOUT OF SINGLE PHASE SUMERSIBLE PUMP FROM TUBEWELL,
302246,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"CARRY,MOTOR/PUMP,S/S TO WORKSHOP",SHIFTING OF MOTOR FROM S/S TO REPAIRING WORKSHOP,
302247,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"REPAIR,MOTOR/PUMP,PARTS/SPARES",REPAIRING OF DAMAGE IMPELLER AND BUSH,
302248,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"REWIND,WINDING,COPPER,MOTOR/PUMP,3HP,1PH",REWINDING OF 3 HP SINGLE PHASE SUBMERSIBLE COPPER WINDING,
302249,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"LOWER/ASSEMBLE,PUMP/MOTOR,SUBMER,ASSEM",LOWERING OF SUMERSIBLE PUMP AFTER ASSEMBLING BACK WITH MOTOR,
400665,S0066,AMS OF 400kV LINES,JOB,Z004,O&M SERVICES,7501.0,R&M-OL:L(fab)V>66KVA,7450100000.0,"CUTTING,CHOPPING,BRACHES,TREE,LINE","LOPPING, CHOPPING AND CUTTING OF TREES BRANCHES IN THE CORRIDOR OF LINES AND  STACKING OF ABOVE CUTTINGS AT PROPER PLACE FAR FROM THE LINE.",
301180,S0009,REINFORCEMENT WORK,NO,Z003,CIVIL SERVICES,,,,FIXING OF MS ANCHOR BOLTS 52X900MM,FIXING OF 52 MM. DIA M.S. ANCHOR BOLTS,
700846,S0050,LAYING-PWR&CTRL CAB.,M3,Z017,PROJECT DESIGN SERVICES,7511.0,R&M-Undergrnd Cable,7451100000.0,TRENCH BACKFILLING-INCL ALL-132KV,"BACKFILLING OF TRENCH WITH SAND INSTALLATION OF RCC COVER, WARNING TAPE, ROUTEL MARKER & F ILLING AND LEVELING OF EXCACATED EARTH-132KV",
302257,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"P&F,RECESS MNTD CFL,2X36W","PROVINDING RECESS MOUNTED CFL BASED LIGHT WITH 2X36 WATT. TUBES OF APPROVED BRAND LIKE BAJ AJ/HAVELS/PHILIPS OR EQUIVALENT AS PER APPROVED BY E/I,INCLUDING 03 NOS 36 WATT CFL LAMPS",
302272,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"S/F,DB,ENCL,STEEL,SURF/FLUSH MNTG,30A,2P","S/F SHEET STEEL ENCLOSURE SURFACE/FLUSH MOUNTING FITTED WITH 30AMP. 2 PIN AND EARTH METAL CLAD SCRAPING EARTH PLUG AND SOCKET COMPLETE IN ALL RESPECT. AS DIRECTED AT SITE BY E/I. ( PWD ELESCH.2016, 1031(A) CAT-A)",
302273,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,"S/F,DB,4 WAY TPN,SURFACE/FLUSH MOUNTNG","""S/F SURFACE/FLUSH MOUNTING 4 WAYS TPN DISTRIBUTION BOARD WITHOUT ADDITIONAL DOOR AND MCB COMPLETE IN ALL.RESPECT AS PER DIRECTION OF E/I. (PWD ELE. SCH.2016, 1026 CAT A)""",
302318,S0029,CIVIL-OTHERS,NO,Z003,CIVIL SERVICES,,,,S/F 1.8/2TON SPLIT AC,SUPPLY  AND  INSTAIIATION  OF   1.8/2.0  TON  SPLIT  AIR  CONDITIONER  (HITACHI/O-GENERAL)  MAKE  WITH  05KVA  VOLTAGE STABILIZER INCLUDING ALL LABOUR T&P OR PROPER COMPLEATION OF WORK. (APPROVED),
